,principal component 1,principal component 2
0,-0.46386854370254,-1.0360941954599634
1,-0.24904043894003045,-1.317665062313922
2,0.040238098363017255,-1.090667537303378
3,-0.19413001569637614,-1.3198672465480987
4,-0.4050441846462349,-0.9869409529925791
5,-0.25076585129902657,-1.6313337881713674
6,0.3119892290152563,-1.3370538825545435
7,-0.057802313710322344,-1.763383580830674
8,0.32540047884273904,-1.8298988010349913
9,-0.04377203528450876,-1.4120448069932006
10,-0.37153786897070207,-1.180857255591895
11,4.403790253648104,-0.9120335561363591
12,-0.340282824055726,-1.2415742726573553
13,0.11278843451021388,-1.7739977653384793
14,-0.2859631632033345,-1.3652442055767005
15,-0.21960627110025055,-1.7789876171468364
16,1.1820486732918882,-1.3239529332090596
17,-0.3822804727377333,-1.3772406652729323
18,1.697525988808557,-1.1345438577721252
19,-0.2908547396867021,-1.4589448686383157
20,0.02904057487771472,-1.2414482859080656
21,2.476147941364598,-0.670517040420077
22,-0.23863364509597443,-1.5251247494835305
23,-0.22867362433672336,-1.2384872651345278
24,0.31739841794253315,-2.3530183329503784
25,0.3091644057929462,-1.3057800037890168
26,-0.13318212395233234,-1.2906722846867633
27,0.07913075723651479,-1.602582524961561
28,-0.35640383635276734,-1.4412661249796308
29,-0.24951881451671404,-1.1647395824528062
30,0.04243116441456839,-1.564728325486723
31,-0.1095760953372868,-1.2271467826505593
32,-0.22638377773634705,-1.4790475229008913
33,0.927956049977473,-1.0319926338143923
34,-0.3980642331216299,-1.3455788568030655
35,-0.4347489585257256,-1.207776487097219
36,-0.28050446554733355,-1.2845730366753292
37,16.34738417185014,1.0515657990735403
38,0.03692682002505469,-1.8918715853917585
39,-0.4890032763743738,-0.6527978794483269
40,-0.2464210362714017,0.03214877235778981
41,-0.21973794278218978,-2.127211977970728
42,-0.10773622823014677,-1.1906650698292036
43,4.84774025628911,-0.580621096381401
44,-0.2639428764731458,-1.2268249844704588
45,-0.24974555097193854,-1.5470241215140208
46,-0.17387806540844214,-1.5963227439639815
47,0.5113056337216384,-1.783506940713182
48,-0.12196416135739767,-1.235738838863401
49,-0.34307781744692845,-1.2296658221704089
50,-0.41565403933273337,-0.6372235871373032
51,-0.27436567913576704,-1.0216394016359593
52,-0.34561837523801164,-1.2650795218188478
53,-0.21201291288826588,-1.0726023771689852
